restaurant, days
"Kushi Tsuru","Monday-Sunday 11:30am-9:00pm"
"Osakaya Restaurant","Monday-Thursday,Sunday 11:30am-9:00pm / Friday-Saturday 11:30am-9:30pm"
"The Stinking Rose","Monday-Thursday,Sunday 11:30am-10:00pm / Friday-Saturday 11:30am-11:00pm"
"McCormick & Kuleto's","Monday-Thursday,Sunday 11:30am-10:00pm / Friday-Saturday 11:30am-11:00pm"
"Mifune Restaurant","Monday-Sunday 11:00am-10:00pm"
"The Cheesecake Factory","Monday-Thursday 11:00am-11:00pm / Friday-Saturday 11:00am-12:30am / Sunday 10:00am-11:00pm"
"New Delhi Indian Restaurant","Monday-Saturday 11:30am-10:00pm / Sunday 5:30pm-10:00pm"
"Iroha Restaurant","Monday-Thursday,Sunday 11:30am-9:30pm / Friday-Saturday 11:30am-10:00pm"
"Rose Pistola","Monday-Thursday 11:30am-10:00pm / Friday-Sunday 11:30am-11:00pm"
"Alioto's Restaurant","Monday-Sunday 11:00am-11:00pm"
"Canton Seafood & Dim Sum Restaurant","Monday-Friday 10:30am-9:30pm / Saturday-Sunday 10:00am-9:30pm"
"All Season Restaurant","Monday-Friday 10:00am-9:30pm / Saturday-Sunday 9:30am-9:30pm"
"Bombay Indian Restaurant","Monday-Sunday 11:30am-10:30pm"
"Sam's Grill & Seafood Restaurant","Monday-Friday 11:00am-9:00pm / Saturday 5:00pm-9:00pm"
"2G Japanese Brasserie","Monday-Thursday,Sunday 11:00am-10:00pm / Friday-Saturday 11:00am-11:00pm"
"Restaurant Lulu","Monday-Thursday,Sunday 11:30am-9:00pm / Friday-Saturday 11:30am-10:00pm"
"Sudachi","Monday-Wednesday 5:00pm-12:30am / Thursday-Friday 5:00pm-1:30am / Saturday 3:00pm-1:30am / Sunday 3:00pm-11:30pm"
"Hanuri","Monday-Sunday 11:00am-12:00am"
"Herbivore","Monday-Thursday,Sunday 9:00am-10:00pm / Friday-Saturday 9:00am-11:00pm"
